Episode: 208, Reward: -143.0, Max Position: 0.515, Epsilon: 0.17638, Q-value: 26.0159836025799
Episode: 209, Reward: -156.0, Max Position: 0.519, Epsilon: 0.17306, Q-value: 28.30253616944853
Episode: 210, Reward: -183.0, Max Position: 0.508, Epsilon: 0.16920, Q-value: 24.38092241992141
Episode: 211, Reward: -135.0, Max Position: 0.514, Epsilon: 0.16630, Q-value: 31.42830236245846
Episode: 212, Reward: -148.0, Max Position: 0.507, Epsilon: 0.16314, Q-value: 28.775037065148354
Episode: 213, Reward: -149.0, Max Position: 0.515, Epsilon: 0.15996, Q-value: 29.381260926243645
Episode: 214, Reward: -150.0, Max Position: 0.515, Epsilon: 0.15676, Q-value: 29.091951968614012
Episode: 215, Reward: -151.0, Max Position: 0.523, Epsilon: 0.15354, Q-value: 25.90210296852248
Episode: 216, Reward: -150.0, Max Position: 0.505, Epsilon: 0.15034, Q-value: 30.856130774877965
Episode: 217, Reward: -153.0, Max Position: 0.521, Epsilon: 0.14708, Q-value: 28.723615951150475
Episode: 218, Reward: -148.0, Max Position: 0.541, Epsilon: 0.14392, Q-value: 27.22681358154816
Episode: 219, Reward: -148.0, Max Position: 0.508, Epsilon: 0.14076, Q-value: 32.85172871773756
Episode: 220, Reward: -151.0, Max Position: 0.529, Epsilon: 0.13754, Q-value: 27.194963555019463
Episode: 221, Reward: -200.0, Max Position: -0.453, Epsilon: 0.13354, Q-value: 21.00418979814276
Episode: 222, Reward: -154.0, Max Position: 0.508, Epsilon: 0.13026, Q-value: 27.23932822412107
Episode: 223, Reward: -153.0, Max Position: 0.518, Epsilon: 0.12700, Q-value: 29.981147388224862
Episode: 224, Reward: -154.0, Max Position: 0.537, Epsilon: 0.12372, Q-value: 26.857220831077274
Episode: 225, Reward: -147.0, Max Position: 0.508, Epsilon: 0.12058, Q-value: 28.077745012416962
Episode: 226, Reward: -200.0, Max Position: -0.567, Epsilon: 0.11658, Q-value: 22.485115356445313
Episode: 227, Reward: -200.0, Max Position: -0.581, Epsilon: 0.11258, Q-value: 23.86300651550293
Episode: 228, Reward: -200.0, Max Position: -0.521, Epsilon: 0.10858, Q-value: 25.359858594089747
Episode: 229, Reward: -200.0, Max Position: -0.540, Epsilon: 0.10458, Q-value: 23.61221829712391
Episode: 230, Reward: -200.0, Max Position: -0.498, Epsilon: 0.10058, Q-value: 23.72120227973908
Episode: 231, Reward: -136.0, Max Position: -0.004, Epsilon: 0.09728, Q-value: 5.7458252124115825
Episode: 232, Reward: -200.0, Max Position: -0.496, Epsilon: 0.09328, Q-value: 21.704862890318037
Episode: 233, Reward: -200.0, Max Position: 0.193, Epsilon: 0.08928, Q-value: 20.7330527265463
Episode: 234, Reward: -158.0, Max Position: 0.510, Epsilon: 0.08592, Q-value: 27.154467421982968
Episode: 235, Reward: -200.0, Max Position: -0.485, Epsilon: 0.08192, Q-value: 22.746928515834735
Episode: 236, Reward: -200.0, Max Position: -0.567, Epsilon: 0.07792, Q-value: 21.49215186595917
Episode: 237, Reward: -148.0, Max Position: 0.506, Epsilon: 0.07476, Q-value: 26.73550072491546
Episode: 238, Reward: -200.0, Max Position: -0.507, Epsilon: 0.07076, Q-value: 21.039002362564204
Episode: 239, Reward: -154.0, Max Position: 0.538, Epsilon: 0.06748, Q-value: 24.960719476749258
Episode: 240, Reward: -91.0, Max Position: 0.503, Epsilon: 0.06546, Q-value: 24.267123640579456
Episode: 241, Reward: -148.0, Max Position: 0.511, Epsilon: 0.06230, Q-value: 25.910465311872052
Episode: 242, Reward: -200.0, Max Position: -0.539, Epsilon: 0.05830, Q-value: 22.652712900713087
Episode: 243, Reward: -148.0, Max Position: 0.522, Epsilon: 0.05514, Q-value: 26.574149749701537
Episode: 244, Reward: -200.0, Max Position: -0.489, Epsilon: 0.05114, Q-value: 22.30451566576958
Episode: 245, Reward: -200.0, Max Position: -0.571, Epsilon: 0.04714, Q-value: 21.270630023479463
Episode: 246, Reward: -147.0, Max Position: 0.506, Epsilon: 0.04400, Q-value: 27.770777706887312
Episode: 247, Reward: -85.0, Max Position: 0.502, Epsilon: 0.04210, Q-value: 20.065396568022276
Episode: 248, Reward: -146.0, Max Position: 0.508, Epsilon: 0.03898, Q-value: 29.055144652342186
Episode: 249, Reward: -151.0, Max Position: 0.530, Epsilon: 0.03576, Q-value: 28.506921287278953
Episode: 250, Reward: -82.0, Max Position: 0.502, Epsilon: 0.03392, Q-value: 28.368750725629862
Episode: 251, Reward: -150.0, Max Position: 0.523, Epsilon: 0.03072, Q-value: 25.020439789583907
Episode: 252, Reward: -200.0, Max Position: -0.561, Epsilon: 0.02672, Q-value: 19.79916600352153
Episode: 253, Reward: -200.0, Max Position: -0.577, Epsilon: 0.02272, Q-value: 19.364194749593736
Episode: 254, Reward: -200.0, Max Position: -0.546, Epsilon: 0.01872, Q-value: 20.009514588387685
Episode: 255, Reward: -154.0, Max Position: 0.502, Epsilon: 0.01544, Q-value: 27.38399131773267
Episode: 256, Reward: -154.0, Max Position: 0.501, Epsilon: 0.01216, Q-value: 25.67000889755422
Episode: 257, Reward: -200.0, Max Position: -0.529, Epsilon: 0.01000, Q-value: 18.78235051497817
Episode: 258, Reward: -86.0, Max Position: 0.510, Epsilon: 0.01000, Q-value: 25.55675904126838
Episode: 259, Reward: -200.0, Max Position: -0.584, Epsilon: 0.01000, Q-value: 18.771609534025192
Episode: 260, Reward: -200.0, Max Position: -0.587, Epsilon: 0.01000, Q-value: 18.58495212674141
Episode: 261, Reward: -200.0, Max Position: -0.570, Epsilon: 0.01000, Q-value: 17.449801368638873
Episode: 262, Reward: -86.0, Max Position: 0.508, Epsilon: 0.01000, Q-value: 21.260178389959037
Episode: 263, Reward: -200.0, Max Position: -0.515, Epsilon: 0.01000, Q-value: 17.626285133063792
Episode: 264, Reward: -88.0, Max Position: 0.503, Epsilon: 0.01000, Q-value: 23.67239965277971
Episode: 265, Reward: -159.0, Max Position: 0.528, Epsilon: 0.01000, Q-value: 22.52589279677741
Episode: 266, Reward: -200.0, Max Position: -0.599, Epsilon: 0.01000, Q-value: 15.220436214208602
Episode: 267, Reward: -84.0, Max Position: 0.507, Epsilon: 0.01000, Q-value: 24.103901844709476
Episode: 268, Reward: -83.0, Max Position: 0.510, Epsilon: 0.01000, Q-value: 23.60000449951778
